agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,77,200,1,40,1,4.799999999999991,53.9999999999999,5064.0,0,1.0,23,41
1,77,200,0,35,4,1.7999999999999936,17.999999999999936,2394.0,0,1.0,17,35
2,77,21,0,2,0,0.0,0.0,114.0,2,-1.2,11,2
3,77,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,78,21,1,2,0,0.0,5.000000000000001,113.0,0,0.0,8,3
1,78,200,1,44,0,7.200000000000017,78.00000000000016,7356.0,0,1.0,12,45
2,78,33,0,4,0,0.0,0.0,204.0,1,-1.2,14,4
3,78,33,1,4,0,0.0,5.000000000000003,215.0,0,-1.0,17,5
0,79,15,0,1,1,0.0,0.0,81.0,3,-1.2,9,1
1,79,200,1,39,0,4.199999999999995,47.99999999999994,5526.0,0,2.0,10,40
2,79,15,1,1,0,0.0,5.000000000000001,104.0,0,-1.0,9,2
3,79,9,2,0,0,0.0,11.0,65.0,0,0.0,7,2
0,80,9,1,0,1,0.0,5.000000000000001,59.0,0,-1.0,6,1
1,80,200,1,42,0,6.000000000000013,66.00000000000013,6672.0,0,1.0,13,43
2,80,15,0,1,0,0.0,0.0,57.0,4,-1.2,9,1
3,80,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,6,1
0,81,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,6,1
1,81,21,0,2,0,0.0,0.0,120.0,0,-1.0,9,2
2,81,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,81,15,1,1,0,0.0,5.000000000000001,80.0,0,0.0,8,2
0,82,9,2,0,0,0.0,11.0,83.0,0,0.0,5,2
1,82,200,1,41,0,5.400000000000013,60.00000000000012,6924.0,0,1.0,10,42
2,82,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,82,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,83,15,1,1,1,0.0,5.000000000000001,110.0,2,-1.2,11,2
1,83,200,1,40,0,4.800000000000007,54.000000000000064,6462.0,0,2.0,11,41
2,83,15,0,1,1,0.0,0.0,93.0,0,-1.0,7,1
3,83,27,0,3,0,0.0,0.0,123.0,0,-1.0,14,3
0,84,9,1,0,0,0.0,5.000000000000001,71.0,3,-1.2,5,1
1,84,200,0,39,0,4.199999999999988,41.99999999999987,3528.0,1,2.0,10,39
2,84,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
3,84,9,0,0,0,0.0,0.0,36.0,4,-1.2,3,0
0,85,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,4,1
1,85,146,0,23,0,0.0,0.0,1803.0,1,-1.2,19,23
2,85,15,0,1,0,0.0,0.0,57.0,1,-1.2,7,1
3,85,27,1,3,0,0.0,5.000000000000002,188.0,0,-1.0,14,4
0,86,9,1,0,0,0.0,5.000000000000001,77.0,2,-1.2,3,1
1,86,200,0,41,0,5.400000000000015,54.00000000000014,6720.0,0,1.0,10,41
2,86,9,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
3,86,15,1,1,0,0.0,5.000000000000001,62.0,0,0.0,8,2
0,87,86,0,13,0,0.0,0.0,705.0,0,-1.0,23,13
