,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
681,171.0,1.0,0.18161434977578475,30.829596412556054,0.12780269058295965,2.197982062780263,23.069506726457334,3247.9618834080716,0.3349775784753363,18.228699551569505,446
682,171.0,2.0,1.0588235294117647,31.367201426024955,0.26916221033868093,2.5204991087343958,31.557932263814546,3335.2531194295902,0.3668449197860963,21.63992869875223,561
683,171.0,3.0,0.6,29.2,3.8,1.219999999999996,15.79999999999996,2657.0,-0.02,30.1,10
684,172.0,0.0,0.9933481152993349,35.467849223946786,1.1197339246119733,4.8809312638580975,54.76940133037698,5181.583148558759,0.435920177383592,25.412416851441243,451
685,172.0,1.0,0.16853932584269662,31.02247191011236,0.12808988764044943,2.2134831460674094,23.146067415730272,3275.5011235955058,0.3496629213483146,18.231460674157304,445
686,172.0,2.0,1.1016042780748663,31.53119429590018,0.2709447415329768,2.5188948306595296,31.79857397504449,3367.0516934046345,0.37237076648841355,21.654188948306594,561
687,172.0,3.0,0.8,29.3,3.8,1.1799999999999962,16.59999999999996,2673.0,0.18,30.2,10
688,173.0,0.0,0.9556541019955654,35.689578713968956,1.1219512195121952,4.913968957871401,54.87361419068741,5236.456762749445,0.4033259423503326,25.456762749445677,451
689,173.0,1.0,0.16853932584269662,31.191011235955056,0.12808988764044943,2.2146067415730273,23.15730337078645,3298.658426966292,0.33168539325842694,18.253932584269663,445
690,173.0,2.0,1.142602495543672,31.688057040998217,0.2709447415329768,2.5130124777183527,31.98573975044556,3399.03743315508,0.35401069518716577,21.684491978609625,561
691,173.0,3.0,0.8,29.4,3.8,1.139999999999996,16.19999999999996,2689.2,0.18,30.4,10
692,174.0,0.0,0.9933481152993349,35.889135254988915,1.124168514412417,4.9337028824833755,55.29711751662976,5291.753880266076,0.4343680709534368,25.490022172949,451
693,174.0,1.0,0.14831460674157304,31.357303370786518,0.12808988764044943,2.214382022471904,23.033707865168473,3321.692134831461,0.3110112359550562,18.287640449438204,445
694,174.0,2.0,1.1158645276292336,31.89483065953654,0.2709447415329768,2.537076648841347,32.065953654188874,3431.103386809269,0.386096256684492,21.727272727272727,561
695,174.0,3.0,1.1,29.6,3.8,1.1599999999999961,18.19999999999996,2707.4,0.48,30.5,10
696,175.0,0.0,0.9711751662971175,36.11751662971175,1.1263858093126387,4.9707317073170785,55.534368070953484,5347.288248337029,0.4321507760532151,25.536585365853657,451
697,175.0,1.0,0.16179775280898875,31.50561797752809,0.12808988764044943,2.2033707865168477,23.004494382022408,3344.6831460674157,0.3038202247191011,18.33258426966292,445
698,175.0,2.0,1.0481283422459893,32.14795008912656,0.2709447415329768,2.5889483065953582,32.17825311942951,3463.270944741533,0.43422459893048126,21.737967914438503,561
699,175.0,3.0,0.9,29.8,3.9,1.179999999999996,17.19999999999996,2724.6,0.31,30.8,10
700,176.0,0.0,0.9778270509977827,36.31929046563193,1.1286031042128604,4.991796008869185,55.78492239467854,5403.073170731707,0.4082039911308204,25.545454545454547,451
701,176.0,1.0,0.17752808988764046,31.66741573033708,0.12808988764044943,2.200449438202241,23.06966292134825,3367.752808988764,0.3258426966292135,18.334831460674156,445
702,176.0,2.0,1.0623885918003566,32.31907308377897,0.2709447415329768,2.591622103386802,32.29055258467015,3495.561497326203,0.3561497326203209,21.754010695187166,561
703,176.0,3.0,0.8,30.0,3.9,1.199999999999996,16.799999999999958,2741.4,0.26,30.8,10
