episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
347,98.0,5844.0,2822.75,11291.0,2,41,25.75,103
348,128.0,6540.0,2747.0,10988.0,2,43,24.25,97
349,369.0,2292.0,943.5,3774.0,7,34,14.5,58
350,47.0,6600.0,3472.25,13889.0,1,41,29.0,116
351,237.0,2916.0,1019.75,4079.0,5,36,13.25,53
352,53.0,5238.0,3139.25,12557.0,1,41,28.75,115
353,59.0,10344.0,3797.75,15191.0,1,45,21.75,87
354,104.0,2766.0,843.25,3373.0,2,33,11.0,44
355,36.0,6048.0,1669.5,6678.0,0,41,13.25,53
356,77.0,5280.0,2174.75,8699.0,1,38,20.5,82
357,68.0,8052.0,3070.75,12283.0,2,45,22.0,88
358,36.0,10116.0,3896.0,15584.0,0,47,22.0,88
359,41.0,5016.0,2116.75,8467.0,1,40,20.75,83
360,86.0,7608.0,3102.5,12410.0,2,45,23.25,93
361,260.0,4770.0,2772.5,11090.0,4,38,28.75,115
362,92.0,3882.0,2471.0,9884.0,2,38,27.0,108
363,311.0,4158.0,1955.0,7820.0,7,36,23.0,92
364,95.0,2352.0,685.75,2743.0,3,35,11.0,44
365,203.0,7914.0,3938.0,15752.0,3,44,24.5,98
366,59.0,11178.0,4703.75,18815.0,1,49,27.0,108
367,41.0,6222.0,1879.0,7516.0,1,43,14.75,59
368,378.0,6786.0,3781.5,15126.0,8,41,30.75,123
369,116.0,6624.0,3515.0,14060.0,2,40,28.5,114
370,110.0,4128.0,1460.0,5840.0,3,38,17.75,71
371,81.0,2604.0,786.0,3144.0,1,34,10.5,42
372,104.0,5550.0,2960.75,11843.0,2,41,27.5,110
373,209.0,5508.0,1861.0,7444.0,5,41,19.25,77
374,86.0,5520.0,3353.0,13412.0,3,40,29.25,117
375,36.0,7170.0,3276.75,13107.0,0,43,24.0,96
376,47.0,5058.0,1640.5,6562.0,1,40,14.0,56
377,36.0,5250.0,2970.0,11880.0,0,38,27.25,109
378,171.0,4446.0,2735.25,10941.0,3,39,28.0,112
379,36.0,6396.0,1659.75,6639.0,0,43,11.5,46
380,75.0,4854.0,1298.75,5195.0,1,36,10.25,41
