episode,min_total_days,max_total_days,average_total_days
809,152.0,8718.0,4257.5
810,96.0,5784.0,2470.5
811,126.0,5802.0,2799.0
812,164.0,9354.0,4472.75
813,42.0,5772.0,3279.0
814,116.0,3576.0,1873.0
815,36.0,6342.0,3217.5
816,75.0,7554.0,3265.5
817,222.0,6210.0,3148.5
818,36.0,7146.0,3931.5
819,68.0,4758.0,2207.5
820,180.0,8382.0,3533.25
821,269.0,7008.0,4394.75
822,90.0,5628.0,2143.5
823,77.0,654.0,310.5
824,276.0,6780.0,3522.5
825,36.0,7554.0,2401.5
826,36.0,5598.0,3214.5
827,42.0,11838.0,4219.5
828,57.0,6564.0,3584.25
829,342.0,6456.0,4015.5
830,90.0,4956.0,1355.0
831,182.0,5484.0,2244.25
832,63.0,5808.0,2382.0
833,36.0,7836.0,3376.5
834,102.0,4224.0,2163.75
835,254.0,9270.0,3937.0
836,443.0,6162.0,3288.25
837,360.0,6930.0,3221.25
838,36.0,7500.0,3877.5
839,113.0,6222.0,3074.75
840,41.0,7278.0,3952.25
841,336.0,4890.0,2413.5
842,62.0,4104.0,2033.75
843,65.0,3876.0,1895.5
844,216.0,6078.0,3072.75
845,96.0,7308.0,2148.75
846,183.0,7926.0,3143.75
847,152.0,528.0,305.5
848,155.0,4872.0,2458.75
849,102.0,6786.0,3341.25
850,71.0,6522.0,2510.0
851,41.0,6522.0,2899.75
852,71.0,1644.0,491.0
853,86.0,6894.0,3026.0
854,111.0,7512.0,4221.75
855,36.0,11016.0,3762.0
856,141.0,7200.0,3265.5
857,77.0,5928.0,2513.0
858,36.0,9402.0,3706.25
859,476.0,12996.0,3774.75
860,68.0,5364.0,2263.75
861,99.0,7134.0,3109.5
862,41.0,7668.0,3078.5
863,75.0,5766.0,1529.75
864,78.0,5412.0,2622.0
865,126.0,6642.0,3344.0
866,47.0,1142.0,335.25
867,149.0,6366.0,1961.0
868,305.0,6150.0,3139.25
869,86.0,5934.0,3359.0
870,125.0,7230.0,3794.75
871,47.0,6204.0,3278.75
872,57.0,5046.0,3005.25
873,57.0,8574.0,3202.25
874,36.0,7158.0,2523.5
875,119.0,6102.0,3985.25
876,161.0,2055.0,757.75
877,36.0,7980.0,2689.25
878,36.0,5604.0,3370.5
879,95.0,6942.0,4442.75
