agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
3,66,200,1,39,4,4.199999999999995,47.99999999999994,6414.0,0,1.0,26,40
0,67,15,0,1,0,0.0,0.0,63.0,4,-1.1,8,1
1,67,200,0,50,0,10.80000000000003,108.00000000000028,11406.0,1,1.8,22,50
2,67,21,1,2,0,0.0,5.000000000000002,167.0,0,-1.0,11,3
3,67,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,3,2
0,68,200,0,41,2,5.400000000000038,54.00000000000038,10104.0,2,0.9,19,41
1,68,200,1,38,39,3.599999999999999,41.99999999999999,6150.0,0,1.8,27,39
2,68,9,0,0,1,0.0,0.0,42.0,0,-1.0,3,0
3,68,200,0,43,37,6.600000000000003,66.00000000000003,5526.0,2,1.9,24,43
0,69,200,0,52,3,12.000000000000044,120.00000000000044,14304.0,0,1.0,35,52
1,69,200,3,49,9,10.200000000000015,120.00000000000016,9090.0,0,1.8,43,52
2,69,86,0,13,1,0.0,0.0,687.0,0,-1.0,26,13
3,69,98,1,15,7,0.0,5.999999999999981,1101.0,0,-1.0,27,16
0,70,200,0,41,0,5.400000000000036,54.00000000000036,8982.0,0,1.0,15,41
1,70,200,2,38,0,3.599999999999996,47.99999999999995,7092.0,0,1.8,18,40
2,70,27,0,3,1,0.0,0.0,141.0,0,-1.0,12,3
3,70,15,0,1,1,0.0,0.0,75.0,2,-1.1,9,1
0,71,200,0,42,0,6.000000000000016,60.00000000000016,7842.0,0,1.0,14,42
1,71,200,1,40,1,4.8000000000000105,54.0000000000001,6516.0,0,1.0,26,41
2,71,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
3,71,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,7,1
0,72,200,0,41,22,5.400000000000013,54.00000000000013,7206.0,1,1.8,24,41
1,72,200,0,40,1,4.799999999999994,47.999999999999936,5814.0,0,1.0,23,40
2,72,200,0,40,25,4.799999999999994,47.999999999999936,5268.0,2,1.9,26,40
3,72,15,0,1,1,0.0,0.0,93.0,0,-1.0,5,1
0,73,200,0,40,0,4.800000000000011,48.000000000000114,7566.0,1,0.9,27,40
1,73,200,1,36,32,2.399999999999992,29.99999999999992,6264.0,0,1.8,31,37
2,73,21,1,2,1,0.0,5.000000000000001,149.0,0,-0.1999999999999999,10,3
3,73,200,0,41,31,5.400000000000012,54.000000000000114,5892.0,0,1.0,31,41
0,74,200,0,39,16,4.200000000000026,42.000000000000256,6822.0,0,1.0,20,39
1,74,200,0,42,0,6.000000000000011,60.00000000000011,6702.0,0,1.0,22,42
2,74,200,0,39,16,4.2,42.0,5742.0,0,1.0,20,39
3,74,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,75,200,1,40,6,4.8000000000000185,54.00000000000018,7524.0,0,1.8,29,41
1,75,200,0,38,41,3.5999999999999863,35.99999999999986,4764.0,0,1.0,33,38
2,75,39,0,5,2,0.0,0.0,261.0,0,-1.0,17,5
3,75,200,0,45,38,7.800000000000022,78.00000000000021,8814.0,0,1.0,28,45
0,76,33,0,4,0,0.0,0.0,162.0,4,-1.1,19,4
1,76,200,4,41,1,5.400000000000004,78.00000000000004,6480.0,0,1.8,24,45
2,76,200,2,38,0,3.599999999999989,47.999999999999886,5274.0,1,1.8,27,40
3,76,15,0,1,1,0.0,0.0,75.0,1,-1.1,12,1
0,77,200,0,44,1,7.200000000000037,72.00000000000036,9540.0,0,1.0,12,44
1,77,200,1,41,0,5.400000000000009,60.000000000000085,6906.0,1,1.8,20,42
2,77,21,0,2,0,0.0,0.0,102.0,2,-1.1,11,2
3,77,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,4,1
0,78,200,1,44,11,7.20000000000001,78.00000000000009,6690.0,0,1.8,32,45
1,78,200,1,37,0,2.9999999999999867,35.999999999999865,4890.0,0,1.0,30,38
2,78,200,0,37,15,2.999999999999989,29.999999999999886,4104.0,2,0.9,31,37
3,78,9,2,0,0,0.0,11.0,65.0,0,-0.1999999999999999,6,2
0,79,200,1,43,1,6.600000000000037,72.00000000000036,8970.0,0,1.8,32,44
1,79,200,1,37,39,2.999999999999986,35.99999999999986,5556.0,0,1.8,28,38
2,79,27,0,3,1,0.0,0.0,171.0,0,-1.0,10,3
3,79,200,2,45,32,7.80000000000002,90.00000000000018,7734.0,0,1.8,29,47
0,80,200,0,39,0,4.19999999999999,41.9999999999999,5340.0,0,1.0,25,39
1,80,200,1,35,0,1.7999999999999892,23.99999999999989,2904.0,1,1.8,22,36
2,80,98,1,15,4,0.0,5.999999999999985,975.0,2,-1.1,26,16
3,80,15,0,1,1,0.0,0.0,69.0,1,-1.1,8,1
0,81,200,1,39,0,4.20000000000001,48.00000000000009,6966.0,0,1.0,23,40
1,81,200,0,36,40,2.3999999999999897,23.999999999999897,3198.0,0,1.0,29,36
2,81,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
3,81,200,0,41,37,5.40000000000002,54.0000000000002,6996.0,3,1.9,19,41
0,82,200,0,42,1,6.000000000000017,60.00000000000016,7656.0,1,1.8,28,42
1,82,200,0,37,41,2.999999999999988,29.99999999999988,3756.0,0,1.0,25,37
2,82,15,1,1,1,0.0,5.000000000000002,92.0,0,-0.1999999999999999,8,2
3,82,200,0,43,41,6.600000000000019,66.00000000000018,8472.0,0,1.0,27,43
0,83,200,1,38,0,3.60000000000002,42.00000000000019,6966.0,0,1.8,25,39
1,83,200,0,34,37,1.1999999999999886,11.999999999999886,3402.0,0,1.0,36,34
2,83,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,83,200,0,40,33,4.800000000000022,48.00000000000022,6552.0,0,1.0,30,40
