agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
2,baseline,64,200,11,35,2,1.799999999999991,83.99999999999991,6726.0,0,2.0,35,46
3,baseline,64,44,3,6,2,0.0,17.999999999999982,678.0,0,0.0,18,9
0,majoritarian,65,200,0,44,1,7.2000000000000055,72.00000000000006,7392.0,0,1.0,22,44
1,majoritarian,65,200,0,38,1,3.599999999999989,35.999999999999886,3954.0,1,1.8,26,38
2,baseline,65,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,7,1
3,baseline,65,39,0,6,1,0.6,5.999999999999999,315.0,0,-1.0,13,6
0,majoritarian,66,21,0,2,1,0.0,0.0,132.0,1,-1.1,11,2
1,majoritarian,66,74,0,11,5,0.0,0.0,945.0,0,-1.0,33,11
2,baseline,66,200,18,37,1,2.999999999999999,137.99999999999997,15702.0,0,1.0,32,55
3,baseline,66,62,0,9,2,0.0,0.0,717.0,0,-1.0,24,9
0,majoritarian,67,45,0,6,0,0.0,0.0,294.0,4,-1.1,30,6
1,majoritarian,67,57,0,8,0,0.0,0.0,450.0,3,-1.1,24,8
2,baseline,67,200,17,37,0,2.9999999999999867,131.99999999999983,15600.0,0,1.0,32,54
3,baseline,67,33,0,4,2,0.0,0.0,240.0,4,-1.2,17,4
0,majoritarian,68,200,0,51,3,11.40000000000004,114.0000000000004,14676.0,0,1.0,23,51
1,majoritarian,68,200,1,36,3,2.3999999999999893,29.999999999999893,4122.0,0,1.0,26,37
2,baseline,68,15,1,1,2,0.0,5.000000000000001,104.0,0,0.0,9,2
3,baseline,68,74,3,11,9,0.0,17.99999999999997,1197.0,0,0.0,28,14
0,majoritarian,69,200,1,40,5,4.800000000000032,54.00000000000031,9348.0,0,1.8,22,41
1,majoritarian,69,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
2,baseline,69,200,0,44,1,7.199999999999993,71.99999999999993,5112.0,0,1.0,22,44
3,baseline,69,45,1,6,1,0.0,5.0,359.0,0,0.0,21,7
0,majoritarian,70,21,1,2,0,0.0,5.000000000000003,131.0,0,-0.1999999999999999,14,3
1,majoritarian,70,15,0,1,0,0.0,0.0,87.0,0,-1.0,6,1
2,baseline,70,20,0,2,0,0.0,0.0,180.0,1,-1.2,7,2
3,baseline,70,15,1,1,1,0.0,5.000000000000001,80.0,0,-1.0,9,2
0,majoritarian,71,200,1,35,5,1.799999999999987,23.99999999999987,5190.0,0,1.0,37,36
1,majoritarian,71,15,0,1,1,0.0,0.0,87.0,4,-1.1,9,1
2,baseline,71,200,0,42,3,6.00000000000003,60.0000000000003,7716.0,1,2.0,30,42
3,baseline,71,104,1,16,5,0.0,5.999999999999953,1932.0,0,-1.0,32,17
0,majoritarian,72,200,0,44,6,7.200000000000038,72.00000000000038,11076.0,0,1.0,18,44
