episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
209,125.0,1017.0,379.5,1518.0,3,13,6.75,27,21,86,43.25,173
210,47.0,5466.0,1677.25,6709.0,1,40,16.75,67,9,200,94.25,377
211,65.0,5538.0,2429.5,9718.0,1,37,21.75,87,9,200,122.5,490
212,83.0,6288.0,2900.75,11603.0,1,40,21.25,85,9,200,110.5,442
213,65.0,8586.0,2823.25,11293.0,1,46,21.0,84,9,200,106.0,424
214,77.0,5970.0,2245.0,8980.0,1,41,24.0,96,9,200,131.5,526
215,125.0,6648.0,3590.75,14363.0,3,43,29.25,117,21,200,155.25,621
216,101.0,10698.0,4186.25,16745.0,3,46,26.25,105,21,200,131.25,525
217,41.0,6588.0,3026.75,12107.0,1,44,22.75,91,9,200,113.5,454
218,77.0,4290.0,1201.0,4804.0,1,38,12.5,50,9,200,71.75,287
219,120.0,3786.0,1082.75,4331.0,2,36,11.75,47,21,200,71.75,287
220,71.0,140.0,108.5,434.0,2,4,3.25,13,9,27,21.0,84
221,98.0,2196.0,1049.5,4198.0,2,34,16.5,66,15,200,101.75,407
222,41.0,8634.0,2210.5,8842.0,0,37,10.25,41,9,200,59.75,239
223,69.0,567.0,319.75,1279.0,1,14,7.25,29,9,87,49.5,198
224,69.0,4488.0,2044.5,8178.0,1,38,20.5,82,15,200,119.5,478
225,75.0,6426.0,2149.5,8598.0,1,42,20.0,80,15,200,113.5,454
226,47.0,9498.0,3259.25,13037.0,1,46,21.75,87,9,200,110.5,442
227,42.0,8712.0,4428.0,17712.0,0,44,29.5,118,9,200,152.25,609
228,71.0,3324.0,897.25,3589.0,1,37,10.5,42,9,200,61.25,245
229,65.0,8460.0,3523.25,14093.0,2,44,28.5,114,9,200,149.25,597
230,53.0,7680.0,3856.25,15425.0,1,44,29.75,119,9,200,152.25,609
231,36.0,6258.0,3634.5,14538.0,0,41,28.75,115,9,200,152.25,609
232,36.0,63.0,54.25,217.0,0,1,0.75,3,9,15,10.5,42
233,77.0,3684.0,986.5,3946.0,1,36,10.25,41,9,200,59.75,239
234,77.0,590.0,331.5,1326.0,1,14,6.5,26,9,87,43.5,174
235,321.0,11148.0,4079.0,16316.0,7,46,25.0,100,51,200,127.0,508
236,249.0,7350.0,3654.75,14619.0,5,39,29.75,119,39,200,159.75,639
237,41.0,7620.0,2007.25,8029.0,1,43,13.5,54,9,200,70.25,281
238,102.0,7194.0,2188.25,8753.0,2,40,18.25,73,21,200,104.5,418
239,65.0,1677.0,482.25,1929.0,1,27,8.0,32,9,170,50.75,203
240,65.0,6390.0,1727.25,6909.0,1,40,13.75,55,9,200,74.75,299
241,65.0,5490.0,1899.25,7597.0,1,39,18.75,75,9,200,106.0,424
242,36.0,9552.0,3175.25,12701.0,0,45,20.5,82,9,200,104.5,418
243,77.0,6276.0,1643.0,6572.0,1,40,11.5,46,9,200,64.25,257
