episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
271,192.0,16992.0,10074.75,40299.0,4,79,55.25,221
272,47.0,8826.0,4472.5,17890.0,1,72,37.75,151
273,86.0,16092.0,9254.0,37016.0,2,79,54.5,218
274,36.0,741.0,399.0,1596.0,0,19,8.5,34
275,86.0,2349.0,836.5,3346.0,2,17,9.0,36
276,75.0,11580.0,5529.5,22118.0,1,73,38.5,154
277,41.0,14604.0,6776.75,27107.0,1,76,38.25,153
278,143.0,5637.0,1928.5,7714.0,3,62,24.75,99
279,93.0,14478.0,6834.5,27338.0,1,74,40.5,162
280,93.0,501.0,237.5,950.0,1,9,4.75,19
281,63.0,1116.0,385.5,1542.0,1,16,6.0,24
282,41.0,28380.0,7302.25,29209.0,1,85,24.5,98
283,74.0,4098.0,1097.0,4388.0,1,59,16.25,65
284,1200.0,19842.0,11511.0,46044.0,18,77,58.5,234
285,57.0,1599.0,457.25,1829.0,1,15,4.75,19
286,372.0,12228.0,6144.75,24579.0,6,74,40.5,162
287,311.0,5967.0,1736.75,6947.0,6,31,12.75,51
288,174.0,1116.0,746.25,2985.0,4,14,10.0,40
289,210.0,20694.0,12934.5,51738.0,6,80,58.25,233
290,636.0,14136.0,7668.75,30675.0,12,72,48.5,194
291,90.0,1242.0,462.5,1850.0,2,14,6.5,26
292,68.0,9258.0,4639.75,18559.0,2,72,36.75,147
293,80.0,18648.0,11250.5,45002.0,2,80,57.75,231
294,36.0,1269.0,466.75,1867.0,0,15,7.0,28
295,59.0,803.0,258.0,1032.0,1,10,3.75,15
296,135.0,891.0,329.5,1318.0,3,11,5.0,20
297,63.0,2433.0,825.5,3302.0,1,19,8.25,33
298,180.0,14634.0,9318.0,37272.0,4,73,55.0,220
299,165.0,17076.0,10572.75,42291.0,3,80,57.25,229
300,90.0,12468.0,4791.0,19164.0,2,73,39.0,156
301,129.0,9822.0,4797.75,19191.0,3,73,38.5,154
302,36.0,75.0,56.75,227.0,0,1,0.75,3
303,36.0,1545.0,569.75,2279.0,0,15,6.5,26
304,750.0,19818.0,12300.0,49200.0,12,79,59.5,238
305,147.0,588.0,330.5,1322.0,3,10,7.0,28
306,69.0,15462.0,4042.5,16170.0,1,58,17.5,70
307,41.0,10266.0,4528.0,18112.0,1,71,36.0,144
308,716.0,19224.0,11588.0,46352.0,16,79,62.0,248
309,110.0,897.0,419.5,1678.0,2,11,7.0,28
310,36.0,6513.0,1751.25,7005.0,0,35,10.75,43
311,57.0,7041.0,1901.0,7604.0,1,35,11.5,46
312,87.0,741.0,269.75,1079.0,1,11,4.75,19
313,53.0,303.0,184.75,739.0,1,7,3.75,15
314,36.0,17328.0,4411.25,17645.0,0,66,17.75,71
315,176.0,2007.0,727.75,2911.0,4,15,8.25,33
316,84.0,1959.0,602.75,2411.0,2,19,7.25,29
317,258.0,10926.0,7764.0,31056.0,6,72,54.75,219
318,42.0,170.0,106.0,424.0,0,4,2.0,8
319,74.0,1278.0,450.25,1801.0,2,12,6.0,24
320,104.0,150.0,126.25,505.0,2,3,2.25,9
321,71.0,7728.0,2017.5,8070.0,1,68,19.0,76
322,36.0,1848.0,604.25,2417.0,0,16,6.25,25
323,74.0,11505.0,2953.0,11812.0,2,53,15.0,60
324,63.0,1308.0,458.75,1835.0,1,14,6.25,25
325,144.0,1356.0,532.25,2129.0,4,12,7.25,29
326,74.0,6204.0,1691.75,6767.0,2,42,13.25,53
327,165.0,7806.0,3617.75,14471.0,3,69,36.75,147
328,1197.0,12270.0,7578.75,30315.0,19,74,59.0,236
329,1080.0,18522.0,11224.5,44898.0,17,80,60.75,243
330,41.0,1014.0,315.5,1262.0,1,10,3.5,14
331,41.0,1440.0,527.25,2109.0,1,12,5.75,23
332,86.0,5631.0,1606.75,6427.0,2,31,11.5,46
333,116.0,1113.0,469.25,1877.0,2,13,7.25,29
334,302.0,1788.0,701.75,2807.0,6,14,8.75,35
335,153.0,16872.0,11361.75,45447.0,3,76,57.0,228
336,114.0,2088.0,636.75,2547.0,2,14,5.75,23
337,77.0,5424.0,1505.25,6021.0,2,68,20.0,80
338,246.0,14694.0,6175.5,24702.0,6,75,40.0,160
339,107.0,6924.0,2194.75,8779.0,2,64,21.5,86
340,267.0,10416.0,5301.75,21207.0,5,72,38.5,154
341,218.0,2646.0,1001.0,4004.0,6,28,14.5,58
342,59.0,2283.0,629.25,2517.0,1,26,8.0,32
343,69.0,660.0,306.5,1226.0,1,11,5.25,21
344,36.0,2808.0,868.25,3473.0,0,20,7.75,31
345,267.0,14862.0,7486.5,29946.0,5,73,45.0,180
346,87.0,13788.0,8270.25,33081.0,1,77,56.0,224
347,254.0,11628.0,3168.5,12674.0,6,48,17.0,68
348,213.0,1497.0,592.25,2369.0,4,17,8.5,34
349,36.0,18972.0,8501.25,34005.0,0,77,39.75,159
350,120.0,12546.0,5902.25,23609.0,2,70,37.0,148
351,62.0,6408.0,1700.5,6802.0,1,36,11.0,44
352,96.0,2001.0,685.5,2742.0,2,15,8.0,32
353,42.0,2160.0,690.75,2763.0,0,18,7.25,29
354,90.0,19620.0,11445.0,45780.0,2,80,57.5,230
355,1131.0,18102.0,9541.5,38166.0,16,75,51.25,205
356,41.0,20616.0,11522.75,46091.0,1,76,55.5,222
357,216.0,11280.0,5279.25,21117.0,5,70,37.75,151
358,137.0,4053.0,1632.5,6530.0,3,31,15.5,62
359,96.0,291.0,164.0,656.0,2,5,3.0,12
360,69.0,23016.0,12903.75,51615.0,1,79,55.5,222
361,80.0,8652.0,2374.75,9499.0,2,40,13.25,53
362,59.0,4647.0,1374.5,5498.0,1,51,16.25,65
363,231.0,18366.0,10766.25,43065.0,5,79,57.5,230
364,53.0,267.0,124.75,499.0,1,5,2.5,10
365,156.0,381.0,225.0,900.0,2,6,3.75,15
366,87.0,14172.0,9879.75,39519.0,1,74,55.25,221
367,65.0,2307.0,871.5,3486.0,1,23,12.5,50
368,126.0,3825.0,1092.5,4370.0,2,23,8.75,35
369,75.0,2946.0,861.5,3446.0,1,18,6.5,26
370,89.0,4086.0,1930.25,7721.0,3,67,29.25,117
371,36.0,207.0,123.5,494.0,0,5,2.75,11
372,69.0,19932.0,11291.25,45165.0,1,79,55.75,223
373,119.0,11892.0,4220.75,16883.0,3,74,33.5,134
374,42.0,2544.0,1332.5,5330.0,0,32,17.5,70
375,128.0,2100.0,699.25,2797.0,2,21,8.5,34
376,234.0,15714.0,9661.5,38646.0,4,76,56.75,227
377,101.0,3828.0,1045.75,4183.0,2,40,12.25,49
378,68.0,120.0,83.0,332.0,1,2,1.5,6
